year,inflation,Trade_to_GDP,Exports_to_GDP,Imports_to_GDP,population,Exports_USD_current,Exports_USD_constant,Imports_USD_current,Imports_USD_constant,iso3c,IncomeGroup
1999,3.07949912638328,38.3615084525358,15.0520156046814,23.3094928478544,67515591,13653789442.6423,14709962029.6315,21144205249.189,23802746211.549,EGY,Lower middle income
2000,2.68380535348548,39.0179359012055,16.2011173184358,22.8168185827698,68831561,16174959635.99,15743925170.2672,22779979451.0495,24751845126.0123,EGY,Lower middle income
1960,0.332829047091756,41.691698525396,19.8661933369743,21.8255051884216,26632894,,1737146430.39148,,5698860633.58253,EGY,Lower middle income
1961,0.693606754935318,37.3881932021467,17.6463071811909,19.7418860209558,27366237,,1620142753.29294,,5593689292.5186,EGY,Lower middle income
1962,-3.00307658790782,34.5708509465172,15.0523800771917,19.5184708693255,28112256,,1488812095.32521,,5638253420.08806,EGY,Lower middle income
1991,19.7485448195578,62.8444444444444,27.4666666666667,35.3777777777778,57424549,10269192422.7318,10736645855.56,13226985709.5381,17704723617.6666,EGY,Lower middle income
1992,13.6374241717218,59.3098490294752,28.3968368080518,30.9130122214234,58666814,11885776186.3208,12122019521.1348,12938946228.1467,16881248101.2927,EGY,Lower middle income
1965,14.8390044616241,37.2632972853675,17.1308761862723,20.1324210990951,30433022,847750109.217999,2116214465.88927,996286588.029707,6780877650.96901,EGY,Lower middle income
1966,9.03644065817632,36.8175683965158,16.3333742281111,20.4841941684047,31237600,862076408.374703,2210533756.61155,1081156917.76387,7196215319.91638,EGY,Lower middle income
1967,0.701897484353739,35.939719109989,16.8257850718005,19.1139340381884,32056510,943166740.380363,2360967055.73824,1071428571.42857,7030436765.35799,EGY,Lower middle income
1968,-1.67575942456911,29.26348956282,11.7999212288302,17.4635683339898,32881848,7e+08,1544926103.72959,1035981308.41121,6568752403.73839,EGY,Lower middle income
1969,3.40982028243742,29.9858977213687,13.4528315891041,16.5330661322645,33703139,877723970.94431,1781918245.60774,1078692493.94673,6814746387.92181,EGY,Lower middle income
1963,0.74664570813542,41.3457841252403,17.7588574567427,23.5869266684977,28871383,,1831465721.11376,,6750574044.22178,EGY,Lower middle income
1964,3.66098294885465,43.2722832722833,18.3980463980464,24.8742368742369,29644875,,2115020550.81683,,7442209304.0998,EGY,Lower middle income
1965,,,,,1148189,,,,,ERI,Low income
1966,,,,,1178875,,,,,ERI,Low income
1969,,,,,1276123,,,,,ERI,Low income
1970,,,,,1310945,,,,,ERI,Low income
1967,,,,,1210302,,,,,ERI,Low income
1968,,,,,1242635,,,,,ERI,Low income
1960,,,,,1007590,,,,,ERI,Low income
1961,,,,,1033328,,,,,ERI,Low income
1962,,,,,1060486,,,,,ERI,Low income
1963,,,,,1088854,,,,,ERI,Low income
1964,,,,,1118159,,,,,ERI,Low income
1990,,,,,2258653,,,,,ERI,Low income
1991,,,,,2266358,,,,,ERI,Low income
1992,,56.3771893721132,11.4236063474642,44.953583024649,2257596,54502214.5615604,94787947.7072143,214474287.085724,739161466.92967,ERI,Low income
1993,,102.060001634922,30.5566909180087,71.5033107169133,2238626,142966419.337566,161078799.829897,334544480.991356,750741414.658445,ERI,Low income
1994,,110.881778212018,28.0196629213483,82.8621152906693,2218430,148977272.727273,155083396.768708,440568181.818182,954668761.962826,ERI,Low income
1995,,105.322628605412,22.3880193550131,82.9346092503987,2204222,129406250,129583996.771891,479375000,978580601.781689,ERI,Low income
1996,,116.617520301229,29.2337703579368,87.3837499432927,2196464,202746708.19765,205437120.92194,606037723.976277,1214691176.87936,ERI,Low income
1997,,115.414776658722,29.6148227877297,85.7999538709925,2195179,203302823.650328,212494992.049636,589008180.669176,1244017006.97053,ERI,Low income
1998,,94.9275656742685,14.8344835891991,80.0930820850693,2206432,110594955.106698,127459048.753116,597114875.236012,1310263312.04898,ERI,Low income
1999,,96.2592361791151,9.53440754918544,86.7248286299297,2237405,65684566.8866374,77143275.8308538,597465839.118809,1333799191.09861,ERI,Low income
2000,,67.8813619265146,9.67062059350866,58.2107413330059,2292416,68310441.5584416,78147444.2456528,411183688.311688,903246832.16562,ERI,Low income
2001,,72.0627109589752,10.8070403599802,61.2556705989949,2374722,81308766.9658252,90805362.4070598,460868367.301826,1035232957.68761,ERI,Low income
2002,,76.5901636574451,11.7811808402808,64.8089828171642,2481058,85922669.1120632,98729111.1345442,472665759.195312,1054766918.87148,ERI,Low income
2003,,74.0078242901552,6.44232783354792,67.5654964566073,2600973,56064210.0029543,73795924.9620059,587987181.057653,1239394376.11742,ERI,Low income
2004,,65.570906849032,5.77539898239118,59.7955078666408,2719803,64052293.7443336,81417192.9889136,663164475.067996,1222075052.77748,ERI,Low income
2005,,61.1060310218073,6.16571332006919,54.9403177017381,2826659,67725792.0730874,80578581.3220549,603478679.585369,953320867.403846,ERI,Low income
2006,,45.2608460537354,6.8995093921478,38.3613366615876,2918205,83564227.6422764,92744797.487228,464617886.178862,583233580.835563,ERI,Low income
2007,,34.5595595326375,5.77185258376616,28.7877069488713,2996536,76071544.7154472,80567444.3651434,379414634.146341,409235978.993846,ERI,Low income
2008,,30.5609500494496,4.42875664923759,26.132193400212,3062779,61125203.2520325,63347724.0581066,360673606.504065,368390841.480091,ERI,Low income
2009,,27.9721416148149,4.52862385911089,23.443517755704,3119920,84082757.7235772,86288203.1751542,435274751.219512,444066063.719754,ERI,Low income
2010,,28.1343228728752,4.78901223698411,23.3453106358911,3170435,101385281.300813,101385281.300813,494229450.406504,494229450.406504,ERI,Low income
1971,,,,,1347176,,,,,ERI,Low income
1972,,,,,1384797,,,,,ERI,Low income
1973,,,,,1423761,,,,,ERI,Low income
1974,,,,,1463983,,,,,ERI,Low income
1975,,,,,1505439,,,,,ERI,Low income
1976,,,,,1547975,,,,,ERI,Low income
1977,,,,,1591620,,,,,ERI,Low income
1978,,,,,1636769,,,,,ERI,Low income
1979,,,,,1683939,,,,,ERI,Low income
1980,,,,,1733416,,,,,ERI,Low income
1981,,,,,1784561,,,,,ERI,Low income
1982,,,,,1836823,,,,,ERI,Low income
1983,,,,,1890558,,,,,ERI,Low income
1984,,,,,1946305,,,,,ERI,Low income
1985,,,,,2003937,,,,,ERI,Low income
1986,,,,,2064794,,,,,ERI,Low income
1987,,,,,2127422,,,,,ERI,Low income
1988,,,,,2185605,,,,,ERI,Low income
1989,,,,,2231141,,,,,ERI,Low income
2016,,,,,,,,,,ERI,Low income
2017,,,,,,,,,,ERI,Low income
2018,,,,,,,,,,ERI,Low income
2019,,,,,,,,,,ERI,Low income
2011,,37.5299147004539,14.3763453384546,23.1535693619993,3213972,374897684.552846,337683409.026386,603784852.03252,546421012.271946,ERI,Low income
2012,,,,,,,,,,ERI,Low income
2013,,,,,,,,,,ERI,Low income
2014,,,,,,,,,,ERI,Low income
2015,,,,,,,,,,ERI,Low income
1976,17.624875606664,30.0775002572519,12.5668703303094,17.5106299269425,36137812,14892644118.3785,49678424867.5946,20751354389.4554,50213607861.7068,ESP,High income
1977,24.5380633969861,29.1635837461147,13.251840095614,15.9117436505007,36511638,17551966265.0602,55689547606.0659,21074989266.1555,47452454718.9362,ESP,High income
1978,19.7736832132249,27.7252143484885,13.879539898363,13.8456744501255,36864898,22290497612.8472,61647688849.322,22236109809.0278,46977380623.095,ESP,High income
1975,16.9532824334277,29.0859604718165,12.3758068910648,16.7101535807517,35757900,14204585507.2464,47312425156.0881,19179420579.7101,45731885394.8126,ESP,High income
1971,8.23688062988463,25.8943219874461,13.0134059061064,12.8809160813397,34224490,6066774371.25749,38466038576.0991,6005008383.23353,29456879406.1353,ESP,High income
1972,8.27228772842505,27.1807178264718,13.3390610477268,13.841656778745,34604469,7887709034.4292,43620375690.8337,8184906031.58167,36615043043.8884,ESP,High income
1973,11.4167092625229,28.107088586128,13.3214872724339,14.7856013136941,34988947,10475954597.3729,47983018790.8981,11627326956.0251,42729188572.4495,ESP,High income
1974,15.6803783160246,31.6954729611988,13.1846265413123,18.5108464198865,35373335,12825214306.3167,47503158311.267,18006241707.5281,46147432112.9191,ESP,High income
1988,4.83726469922025,36.7134820107705,17.3027871905832,19.4106948201873,38766939,65086235252.1069,105951898048.54,73015349235.8235,97239314773.0838,ESP,High income
1989,6.79143753312085,37.3841836123382,16.6023775575793,20.7818060547589,38827764,68859532536.8939,107468930806.959,86194007167.955,114467834131.557,ESP,High income
1990,6.72182530113632,35.6107334350814,15.7247982291945,19.8859352058869,38867322,84372755958.2109,112511744262.756,106699693927.522,125481078679.002,ESP,High income
1991,5.93421111318832,35.4785412967992,15.7607198512747,19.7178214455245,38966376,90965543795.036,121790594013.89,113804595676.541,138459421350.854,ESP,High income
1979,15.6602266826064,27.8359973754179,13.7041540738948,14.1318433015231,37191330,29409382746.6534,65100564956.8765,30327212196.3312,52333697255.3577,ESP,High income
1980,15.5618949023769,31.5606094818839,14.2907951112364,17.2698143706476,37491165,33264229751.6825,66594641528.7743,40198398236.2497,54021068600.069,ESP,High income
1981,14.5493586774997,35.380192006034,16.2834544138251,19.0967375922089,37758631,33024130473.9593,74114243220.9324,38729690755.091,52071621820.583,ESP,High income
1982,14.414995819774,36.5284288015454,16.9771128850372,19.5513159165083,37986012,33274590186.279,78239188162.7028,38319944570.6497,54638422519.2106,ESP,High income
1983,12.1740835180134,39.7685248912058,19.0753191908752,20.6932057003306,38171525,32609484338.7471,85760610999.7177,35375280510.4408,53982810054.8873,ESP,High income
1984,11.2802636666493,41.5414301155211,21.303059297009,20.2383708185122,38330364,36663185158.3523,96084811048.5967,34830825294.97,53262853795.5588,ESP,High income
1985,8.81445480881752,40.8666262724316,20.8647412247236,20.001885047708,38469512,37722088454.0117,96725862130.4626,36162100880.6262,57283479332.9826,ESP,High income
1986,8.79493974688221,35.3473419769776,18.1973255350273,17.1500164419503,38584624,45733714149.9347,96951687000.8662,43101605678.983,67126360080.9321,ESP,High income
1987,5.24802176694659,36.3199597016428,17.7248426531766,18.5951170484662,38684815,56497570138.7953,102056420140.445,59271551812.4242,83768828088.2134,ESP,High income
2001,3.58983494893723,57.9971554637493,27.8616191602484,30.1355363035009,40850412,174772259507.83,304161410726.704,189036241610.738,309513987899.904,ESP,High income
2002,3.06576537186607,55.0991792430679,26.553994919632,28.5451843234359,41431558,187310370788.632,308488257702.879,201356107660.455,320896207991.621,ESP,High income
2003,3.03923368432095,53.4636891006225,25.6289061234055,27.834782977217,42187645,232067720090.293,319496302639.927,252041760722.348,340255002112.059,ESP,High income
2004,3.03920165014928,54.5241826916923,25.4119848226223,29.1121978690701,42921895,271169605165.135,333248140077.94,310654333250.559,373149837581.663,ESP,High income
2005,3.36845398789423,54.7622975833471,24.9792690409411,29.783028542406,43653155,288082328068.648,339548747466.098,343483397587.365,399121240825.849,ESP,High income
2006,3.51537491125932,56.1771348136076,25.2413025005404,30.9358323130671,44397319,317874796135.993,355606887909.53,389588508342.742,431901498367.779,ESP,High income
2007,2.78703047313632,57.7476037596033,25.984738814678,31.7628649449253,45226803,382529427867.506,382622496469.715,467591021078.566,467490134051.85,ESP,High income
2008,4.07566076368221,55.9833300436847,25.6239291743162,30.3594008693685,45954106,416446462575.07,379154191018.035,493408524974.367,441741792092.391,ESP,High income
2009,-0.287996835001989,46.9948743270275,23.0616941747255,23.933180152302,46362946,342600722422.895,338061788949.447,355547374270.631,360891218234.651,ESP,High income
2010,1.79988133046941,52.928240557318,25.9516793464024,26.9765612109155,46576897,368701226683.716,368701226683.716,383261949155.97,383261949155.97,ESP,High income
2011,3.19614641224106,58.7931710352776,29.5349622049272,29.2582088303504,46742697,436754994731.301,398837425056.058,432662441037.936,380998425627.343,ESP,High income
2012,2.44600018540708,60.8453698432449,31.45527248111,29.390097362135,46773055,416725769569.772,402567465552.761,389365914675.238,358766650916.182,ESP,High income
2013,1.40854629241729,61.9962993018068,32.9625774735678,29.033721828239,46620045,446562968501.662,420193487425.314,393336504606.372,357997516103.816,ESP,High income
2014,-0.150870313497969,63.8656097225425,33.4825675913959,30.3830421311466,46480882,458509893738.849,439212900696.975,416065027898.125,382334355507.459,ESP,High income
2015,-0.500461321406559,64.2126411715031,33.6265184346551,30.586122736848,46444832,401877001633.088,458170357363.775,365540646765.21,401745562935.237,ESP,High income
2016,-0.202671740806371,63.7726244343891,33.8800904977376,29.8925339366516,46483569,417428469683.007,482779773698.46,368298741615.141,412391558895.941,ESP,High income
2017,1.95608333333334,66.7775790573537,35.1783922236242,31.5991868337295,46593236,460594081392.922,509880098432.638,413731200105.016,439800061892.551,ESP,High income
2018,1.67506761489627,67.519691097852,35.1166576414935,32.4030334563585,46723749,498320103339.006,521062633399.702,459812637789.042,454233224037.124,ESP,High income
2019,,,,,,,,,,ESP,High income
1993,4.56907088464655,36.9498941215609,17.708887656009,19.2410064655519,39361262,92985054516.9303,141195136495.676,101029837102.889,140174099906.798,ESP,High income
1994,4.71841328382086,41.6444787411747,20.3111353908915,21.3333433502832,39549108,107763295118.619,164731908751.544,113186748602.658,156216604364.639,ESP,High income
1995,4.67380318516357,44.7753740870366,21.8270992731031,22.9482748139335,39724050,134151321056.845,180219119334.07,141042167066.987,173511206664.79,ESP,High income
1996,3.55884083117293,46.2452192648042,23.0323607990957,23.2128584657085,39889852,148003415210.824,198190328005.132,149163273348.22,186190351384.648,ESP,High income
1997,1.9710789044246,51.1662571157861,25.6697890106843,25.4964681051018,40057389,151471590909.091,226710596969.072,150448863636.364,210187113747.642,ESP,High income
1998,1.83432922905414,52.6614543708284,26.101947326675,26.5595070441534,40223509,161627129969.93,245179987320.032,164460407617.775,239703119264.982,ESP,High income
1999,2.31034694983278,54.636466948565,26.3515090067028,28.2849579418622,40386875,167251225229.065,264968168260.166,179522693373.109,272517506402.389,ESP,High income
2000,3.43351675547435,60.0823337464942,28.5633579326111,31.5189758138831,40567864,170488299244.518,292626102438.088,188129721761.563,298599830831.877,ESP,High income
1960,1.17775803502553,,,,30455000,,,,,ESP,High income
1961,0.809255325032755,,,,30739250,,,,,ESP,High income
1962,5.70648670988055,,,,31023366,,,,,ESP,High income
1963,8.74369245002616,,,,31296651,,,,,ESP,High income
1992,5.92453428734186,35.9778421725737,16.1875490124679,19.7902931601058,39157685,102129839752.966,130934677401.878,124860129692.833,147902326399.176,ESP,High income
1965,13.2141352561458,,,,31954292,,,,,ESP,High income
1966,6.24035915568424,,,,32283194,,,,,ESP,High income
1967,6.39164208963802,,,,32682947,,,,,ESP,High income
1968,4.95436059192111,,,,33113134,,,,,ESP,High income
1969,2.16034015092095,,,,33441054,,,,,ESP,High income
1970,5.7311558398144,25.8215115148289,12.1305926826021,13.6909188322268,33814531,4972693368.19586,33682571548.5445,5612317803.66057,29251967996.5,ESP,High income
1964,6.97925099466255,,,,31609195,,,,,ESP,High income
1966,-1.3618677046691,,,,25641044,,,,,ETH,Low income
1967,0.808678501054675,,,,26280132,,,,,ETH,Low income
1969,1.42568843148632,,,,27652709,,,,,ETH,Low income
1970,10.1219512195636,,,,28415077,,,,,ETH,Low income
1971,0.536224281695186,,,,29248643,,,,,ETH,Low income
1968,0.182612665558972,,,,26944390,,,,,ETH,Low income
1960,,,,,22151278,,,,,ETH,Low income
1961,,,,,22671191,,,,,ETH,Low income
